code,name,link
130802000000,双桥区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130802.html
130803000000,双滦区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130803.html
130804000000,鹰手营子矿区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130804.html
130821000000,承德县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130821.html
130822000000,兴隆县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130822.html
130823000000,平泉县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130823.html
130824000000,滦平县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130824.html
130825000000,隆化县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130825.html
130826000000,丰宁满族自治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130826.html
130827000000,宽城满族自治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130827.html
130828000000,围场满族蒙古族自治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/08/130828.html
130702000000,桥东区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130702.html
130703000000,桥西区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130703.html
130705000000,宣化区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130705.html
130706000000,下花园区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130706.html
130708000000,万全区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130708.html
130709000000,崇礼区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130709.html
130722000000,张北县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130722.html
130723000000,康保县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130723.html
130724000000,沽源县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130724.html
130725000000,尚义县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130725.html
130726000000,蔚县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130726.html
130727000000,阳原县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130727.html
130728000000,怀安县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130728.html
130730000000,怀来县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130730.html
130731000000,涿鹿县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130731.html
130732000000,赤城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/07/130732.html
139001000000,定州市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/90/139001.html
139002000000,辛集市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/90/139002.html
131002000000,安次区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131002.html
131003000000,广阳区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131003.html
131022000000,固安县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131022.html
131023000000,永清县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131023.html
131024000000,香河县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131024.html
131025000000,大城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131025.html
131026000000,文安县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131026.html
131028000000,大厂回族自治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131028.html
131081000000,霸州市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131081.html
131082000000,三河市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/10/131082.html
131102000000,桃城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131102.html
131103000000,冀州区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131103.html
131121000000,枣强县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131121.html
131122000000,武邑县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131122.html
131123000000,武强县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131123.html
131124000000,饶阳县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131124.html
131125000000,安平县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131125.html
131126000000,故城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131126.html
131127000000,景县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131127.html
131128000000,阜城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131128.html
131182000000,深州市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/11/131182.html
140105000000,小店区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140105.html
140106000000,迎泽区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140106.html
140107000000,杏花岭区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140107.html
140108000000,尖草坪区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140108.html
140109000000,万柏林区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140109.html
140110000000,晋源区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140110.html
140121000000,清徐县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140121.html
140122000000,阳曲县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140122.html
140123000000,娄烦县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140123.html
140181000000,古交市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/01/140181.html
130902000000,新华区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130902.html
130903000000,运河区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130903.html
130921000000,沧县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130921.html
130922000000,青县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130922.html
