code,link,name
320900000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3209.html,盐城市
321000000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3210.html,扬州市
321100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3211.html,镇江市
321200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3212.html,泰州市
321300000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3213.html,宿迁市
330100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3301.html,杭州市
330200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3302.html,宁波市
330300000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3303.html,温州市
330400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3304.html,嘉兴市
330500000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3305.html,湖州市
330600000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3306.html,绍兴市
330700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3307.html,金华市
330800000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3308.html,衢州市
330900000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3309.html,舟山市
331000000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3310.html,台州市
331100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/33/3311.html,丽水市
340100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3401.html,合肥市
340200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3402.html,芜湖市
340300000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3403.html,蚌埠市
340400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3404.html,淮南市
340500000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3405.html,马鞍山市
340600000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3406.html,淮北市
340700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3407.html,铜陵市
340800000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3408.html,安庆市
341000000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3410.html,黄山市
341100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/34/3411.html,滁州市
